nombre,artista,album,url
Hard 2 Face Reality,"Poo Bear, Justin Bieber, J A Y E L E C T R O N I C A",Hard 2 Face Reality,https://open.spotify.com/track/0sPJELXHyWpFgkxlzvvRFI
Not Me (feat. Two Feet),"MELVV, Two Feet",Not Me (feat. Two Feet),https://open.spotify.com/track/36jQlFGZJ3Xn1H3PDMPo9i
Mailman,GRAHAM,Mailman,https://open.spotify.com/track/7dI05YM6f4mz6EMejbfiR6
Cupid Hates My Guts,John Michael Howell,Cupid Hates My Guts,https://open.spotify.com/track/63ZoAAduWDVqAXXKz0k9XN
Wasting My Emotions,"Bangers Only, fawlin, Braden Ross",Wasting My Emotions,https://open.spotify.com/track/1BcZ59NnDqvzJMOqt8NDjw
coffin girl,"Naits, fawlin",coffin girl,https://open.spotify.com/track/2Cf1c7Hi8QQyK4fI6CnGUR
London,Mackenzy Mackay,London,https://open.spotify.com/track/6Mx5HieOgwyF3bRb8ahTDh
"Young, Drunk & In Love",AMAG,"Young, Drunk & In Love",https://open.spotify.com/track/1Fd5LiCVx2ZeUXgvJGWwSg
Shadow,AMAG,Shadow,https://open.spotify.com/track/7KbIYLdb8eP6D2CJjCH2ee
Something In The Way,Jake Cornell,Something In The Way,https://open.spotify.com/track/6gOuYUCkTxAPqCkqOnPXma
Another Life (feat. FLETCHER & Josh Golden),"Surf Mesa, Joshua Golden, FLETCHER",Another Life,https://open.spotify.com/track/3ng7epefERNazaZkkbwLdq
Drunk on You,Blake Schmitz,All of You & Me,https://open.spotify.com/track/0urcTzISVJLsDCm4kJLd8w
Give Me A Reason,Jillian Rossi,Never Fully Loved,https://open.spotify.com/track/3Ejvdi1vVGggaHGfRCRCka
Hopeless Valentine,dazeychain,Hopeless Valentine,https://open.spotify.com/track/0wi5DEBzRaIqknhDAYGnRi
Those Eyes,Michael Gerow,Those Eyes,https://open.spotify.com/track/3pGlSUv6ahGuK6FUJ7yrU2
Armor,John Michael Howell,Armor,https://open.spotify.com/track/1pbe5KEH7qCtnclWQZOq0S
Leave You Behind,"Ryan Mack, Robert Grace",Leave You Behind,https://open.spotify.com/track/5YqF62tggEnqtlZPj2vKIC
Sad Fuck,Ryan Mack,Sad Fuck,https://open.spotify.com/track/4ack8q3p80uwQDp3Gzqk7Z
Overwhelmed (Ryan Mack Remix),Ryan Mack,Overwhelmed (Ryan Mack Remix),https://open.spotify.com/track/03eyNjBM2mpx28H6kdaufN
Wish You the Worst,Ryan Mack,Wish You the Worst,https://open.spotify.com/track/6JU4seYQ2nAMCsgktdau0Q
Find It,Mackenzy Mackay,Find It,https://open.spotify.com/track/1ZYKKqZx0ufiM5BK3RKrUI
life's been boring,ryman leon,life's been boring,https://open.spotify.com/track/5AHy3YuMTxqUh5Xf9onY8e
Cold Stare,Mackenzy Mackay,Cold Stare,https://open.spotify.com/track/1fb1htW4ldQDBDR8IIzWeK
your person,Jake Clark,your person,https://open.spotify.com/track/0f9wp0OIGLlCfyEdAlS2wv
this house is not a home,"Munn, Delanie Leclerc",this house is not a home,https://open.spotify.com/track/7CKDmTfTBNp6cezLioRqRs
Friend's Couch,AMAG,Friend's Couch,https://open.spotify.com/track/6YUp88lXpU3jwwq8kZ9S4S
in case you're curious,GRAHAM,in case you're curious,https://open.spotify.com/track/4galWWUzZ1bfMPVykrTKLQ
Crazy,"BEAUZ, JVNA",Crazy,https://open.spotify.com/track/5nihLVpUd4birzwDlSp1Ph
